policy_number,date_of_premium_payment,amount,start_date,end_date,line_of_business,reinsurance_premium,reinsurance_commission,commission
JULY_HCP_PREMIUMS_15880,2022-07-01,126812.5,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-027_15886,2022-02-01,127600.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
JAN_HCP_PREMIUMS_15888,2022-01-01,128152.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
BYO/MVE/P/000009207_15899,2022-09-21,129783.45,2022-09-21,2023-09-30,Motor,0.0,0.0,0.0
BYO/MVE/P/000006203_15901,2022-09-01,130139.99,2022-09-01,2023-02-28,Motor,0.0,0.0,6507.0
HRE/MVE/P/000002038_15905,2022-06-01,130666.66,2022-06-01,2022-09-30,Motor,0.0,0.0,16333.34
POL-HEALTH-011_15909,2022-06-01,131400.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
MTR/MVE/P/000002376_15911,2022-06-01,131985.62,2022-06-01,2022-09-30,Motor,0.0,0.0,16498.2
HRE/MTP/P/000004374_15920,2022-06-14,132000.0,2022-06-14,2023-06-13,Miscellaneous,0.0,0.0,26400.0
BYO/MVE/P/000009344_15922,2022-11-01,132199.2,2022-11-01,2023-10-31,Motor,0.0,0.0,0.0
MTR/MTP/P/000003513_15929,2022-04-01,133367.24,2022-04-01,2022-06-30,Miscellaneous,0.0,0.0,26673.46
POL-HEALTH-029_15958,2022-07-01,140000.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
HRE/MVE/P/000008998_15961,2022-08-17,142212.0,2022-08-17,2022-12-16,Motor,0.0,0.0,0.0
BYO/MVE/P/000002277_15983,2022-06-01,146666.67,2022-06-01,2022-09-30,Motor,0.0,0.0,18333.33
HRE/MTP/P/000008509_15993,2022-03-29,148500.0,2022-03-29,2023-03-28,Miscellaneous,0.0,0.0,29700.0
POL-HEALTH-029_15996,2022-10-01,149500.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MTR/MVE/P/000002456_16002,2022-03-07,150000.0,2022-03-07,2023-03-06,Motor,0.0,0.0,0.0
POL-HEALTH-027_16005,2022-03-01,150800.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
POL-HEALTH-027_16006,2022-04-01,150800.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
POL-HEALTH-027_16007,2022-05-01,150800.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
POL-HEALTH-009_16010,2022-02-01,151700.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
MTR/ENG/P/000004159_16015,2022-06-01,153826.96,2022-06-01,2022-09-30,Engineering,0.0,0.0,30765.39
POL-HEALTH-104_16028,2022-11-01,161000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-104_16029,2022-12-01,161000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
BYO/ENG/P/000004475_16044,2022-02-01,166666.66,2022-02-01,2022-05-31,Engineering,0.0,0.0,0.0
POL-HEALTH-040_16049,2022-05-01,167700.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
POL-HEALTH-020_16050,2022-04-01,167700.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
HRE/DOM/P/000009077_16055,2022-09-23,168300.0,2022-09-23,2023-09-22,Property,0.0,0.0,33660.0
BYO/MTP/P/000004947_16082,2022-06-01,175000.0,2022-06-01,2022-09-30,Miscellaneous,0.0,0.0,0.0
POL-HEALTH-030_16084,2022-07-01,175500.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-032_16085,2022-07-01,175500.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-030_16086,2022-08-01,175500.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-032_16087,2022-08-01,175500.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-030_16088,2022-09-01,175500.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-032_16089,2022-09-01,175500.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-010_16095,2022-01-01,177980.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-010_16096,2022-02-01,177980.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
POL-HEALTH-079_16132,2022-11-01,189000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-099_16133,2022-11-01,189000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-079_16134,2022-12-01,189000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-099_16135,2022-12-01,189000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
HRE/MVE/P/000002557_16137,2022-06-05,189052.5,2022-06-05,2023-05-31,Motor,0.0,0.0,0.0
HRE/MVE/P/000008921_16139,2022-07-22,189583.33,2022-07-22,2022-11-21,Motor,0.0,0.0,23697.92
HRE/MVE/P/000008916_16140,2022-07-22,189583.33,2022-07-22,2022-11-21,Motor,0.0,0.0,23697.92
HRE/MVE/P/000008920_16141,2022-07-22,189583.33,2022-07-22,2022-11-21,Motor,0.0,0.0,23697.92
_HRE-POL-20359-DCO__16155,2022-03-26,194400.0,2022-03-26,2023-03-31,Property,0.0,0.0,38880.0
_HRE-POL-20045-MFL__16185,2022-01-01,206100.0,2022-01-01,2022-01-31,Motor,0.0,0.0,20610.0
POL-HEALTH-010_16203,2022-03-01,210340.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
HRE-POL-50037-MCP_16215,2022-01-01,220000.0,2022-01-01,2022-04-30,Motor,0.0,0.0,0.0
POL-HEALTH-008_16221,2022-09-01,222750.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
_HRE-POL-20311-MCP__16223,2022-03-07,223560.0,2022-03-07,2023-03-06,Motor,0.0,0.0,26827.2
BYO/MTP/P/000004945_16226,2022-06-01,225000.0,2022-06-01,2022-09-30,Miscellaneous,0.0,0.0,0.0
JAN_HCP_PREMIUMS_16243,2022-01-01,233436.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
HRE/MVE/P/000009281_16249,2022-03-01,235200.0,2022-03-01,2023-02-28,Motor,0.0,0.0,29400.0
POL-HEALTH-029_16264,2022-04-01,244800.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16269,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16270,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16271,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16272,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16273,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16274,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16275,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16276,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16277,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__16278,2022-12-01,247050.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
BYO/MVE/P/000009320_16283,2022-06-14,248200.0,2022-06-14,2022-10-13,Motor,0.0,0.0,0.0
MTR-POL-60018-MCP_16302,2022-08-29,258894.4,2022-08-29,2022-09-30,Motor,0.0,0.0,32361.8
POL-HEALTH-080_16319,2022-10-01,270292.1,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-020_16328,2022-03-01,271730.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
POL-HEALTH-010_16334,2022-04-01,275060.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
POL-HEALTH-080_16336,2022-11-01,275373.58,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
HRE/MVE/P/000008910_16340,2022-12-08,277855.21,2022-12-08,2023-12-07,Motor,0.0,0.0,0.0
HRE-POL-20597-MFL_16347,2022-06-27,283992.24,2022-06-27,2023-01-31,Motor,0.0,0.0,35499.03
POL-HEALTH-029_16348,2022-03-01,284700.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
POL-HEALTH-011_16349,2022-07-01,284700.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-011_16350,2022-08-01,284700.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-080_16356,2022-12-01,288119.13,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
BYO-POL-40011-MCP_16358,2022-06-01,289961.0,2022-06-01,2023-05-31,Motor,0.0,0.0,28996.1
POL-HEALTH-008_16363,2022-01-01,291170.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-008_16364,2022-02-01,291170.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
POL-HEALTH-019_16366,2022-07-01,292500.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
HRE/MVE/P/000006823_16376,2022-11-22,305000.0,2022-11-22,2023-11-21,Motor,0.0,0.0,36600.0
POL-HEALTH-011_16379,2022-11-01,306600.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-011_16380,2022-12-01,306600.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-029_16407,2022-05-01,322500.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
POL-HEALTH-027_16412,2022-06-01,327000.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
HRE/MVE/P/000002309_16424,2022-06-01,338216.66,2022-06-01,2022-09-30,Motor,0.0,0.0,42277.09
POL-HEALTH-008_16428,2022-03-01,344110.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
POL-HEALTH-079_16435,2022-10-01,351000.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-099_16436,2022-10-01,351000.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
HRE/MVE/P/000009152_16439,2022-06-01,355900.0,2022-06-01,2022-09-30,Motor,0.0,0.0,39147.5
POL-HEALTH-045_16443,2022-05-01,360000.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
POL-HEALTH-040_16449,2022-06-01,369000.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-019_16450,2022-08-01,370500.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
MTR/MTP/P/000005710_16451,2022-04-01,374504.52,2022-04-01,2022-06-30,Miscellaneous,0.0,0.0,74900.91
MTR/DOM/P/000004903_16458,2022-09-09,378000.0,2022-09-09,2023-09-08,Property,0.0,0.0,0.0
POL-HEALTH-019_16460,2022-09-01,381000.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-029_16470,2022-06-01,387000.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
MTR/MVE/P/000009385_16487,2022-03-01,403218.61,2022-03-01,2022-05-31,Motor,0.0,0.0,48519.83
MTR/MVE/P/000005581_16491,2022-10-01,409384.9,2022-10-01,2023-09-30,Motor,0.0,0.0,0.0
POL-HEALTH-040_16492,2022-09-01,409500.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-019_16493,2022-10-01,409500.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MTR/MVE/P/000004257_16509,2022-02-01,431365.0,2022-02-01,2022-05-31,Motor,0.0,0.0,0.0
POL-HEALTH-045_16511,2022-06-01,432000.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-008_16522,2022-04-01,449990.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
BYO-POL-40011-MFL_16572,2022-02-01,501406.0,2022-02-01,2023-01-31,Motor,0.0,0.0,62675.75
HRE-POL-20740-MCP_16577,2022-07-22,513435.62,2022-07-22,2023-01-31,Motor,0.0,0.0,61612.27
HRE/MTP/P/000008718_16578,2022-05-28,513864.0,2022-05-28,2023-05-27,Miscellaneous,0.0,0.0,102772.8
POL-HEALTH-019_16586,2022-11-01,525000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-019_16587,2022-12-01,525000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
JAN_HCP_PREMIUMS_16614,2022-01-01,549722.82,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-011_16627,2022-10-01,569400.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MTR/MVE/P/000004630_16630,2022-06-01,570514.57,2022-06-01,2022-09-30,Motor,0.0,0.0,0.0
POL-HEALTH-003_16633,2022-01-01,578600.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-003_16634,2022-02-01,578600.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
POL-HEALTH-069_16659,2022-11-01,616000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-069_16660,2022-12-01,616000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-040_16674,2022-07-01,637000.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-040_16675,2022-08-01,637000.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
MTR/MVE/P/000004196_16687,2022-02-01,661664.18,2022-02-01,2022-05-31,Motor,0.0,0.0,81606.93
POL-HEALTH-028_16688,2022-05-01,661750.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
HRE-POL-20588-MCP_16695,2022-06-22,682500.0,2022-06-22,2023-06-21,Motor,0.0,0.0,81900.0
BYO/MVE/P/000002868_16699,2022-06-01,698985.0,2022-06-01,2023-05-31,Motor,0.0,0.0,69898.5
POL-HEALTH-027_16701,2022-09-01,702000.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-027_16703,2022-07-01,708500.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-027_16704,2022-08-01,708500.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
MTR/MVE/P/000003540_16721,2022-05-17,750000.0,2022-05-17,2023-04-30,Motor,0.0,0.0,0.0
POL-HEALTH-003_16734,2022-03-01,765310.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
MTR/MVE/P/000004254_16736,2022-05-01,769931.61,2022-05-01,2022-08-31,Motor,0.0,0.0,0.0
HRE/ENG/P/000004172_16737,2022-06-01,774546.67,2022-06-01,2022-09-30,Engineering,0.0,0.0,154909.33
HRE-POL-20655-MFL_16739,2022-06-09,776743.15,2022-06-09,2023-01-31,Motor,0.0,0.0,93209.18
MTR/MVE/P/000003565_16742,2022-04-01,780414.57,2022-04-01,2022-06-30,Motor,0.0,0.0,95676.35
MTR/MVE/P/000004392_16749,2022-04-01,793044.9,2022-04-01,2022-07-31,Motor,0.0,0.0,0.0
POL-HEALTH-028_16758,2022-06-01,821100.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-002_16782,2022-01-01,913000.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-002_16783,2022-02-01,913000.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
POL-HEALTH-045_16788,2022-07-01,936000.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-045_16789,2022-08-01,936000.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-045_16790,2022-09-01,936000.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-010_16791,2022-10-01,936000.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
MTR/MVE/P/000005292_16812,2022-03-01,1034503.51,2022-03-01,2022-06-30,Motor,0.0,0.0,0.0
POL-HEALTH-003_16814,2022-04-01,1041090.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
_HRE-POL-20216-MFL__16818,2022-03-21,1052613.7,2022-03-21,2023-01-31,Motor,0.0,0.0,126313.64
POL-HEALTH-002_16819,2022-03-01,1055860.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
HRE/MTP/P/000004133_16865,2022-07-01,1327298.0,2022-07-01,2022-09-30,Miscellaneous,0.0,0.0,265459.6
POL-HEALTH-002_16875,2022-04-01,1397230.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
POL-HEALTH-007_16890,2022-01-01,1464870.0,2022-01-01,2022-01-31,Health,0.0,0.0,0.0
POL-HEALTH-007_16891,2022-02-01,1464870.0,2022-02-01,2022-02-28,Health,0.0,0.0,0.0
POL-HEALTH-038_16894,2022-06-01,1500000.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-069_16898,2022-10-01,1525600.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-038_16903,2022-05-01,1549250.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
_HRE-POL-20217-MFL__16917,2022-03-21,1667506.85,2022-03-21,2023-01-31,Motor,0.0,0.0,200100.82
POL-HEALTH-007_16924,2022-03-01,1734290.0,2022-03-01,2022-03-31,Health,0.0,0.0,0.0
POL-HEALTH-028_16931,2022-07-01,1857050.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-037_16939,2022-05-01,2054750.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
MTR/MAT/P/000004003_16946,2022-04-01,2304806.94,2022-04-01,2022-04-30,Property,0.0,0.0,460961.38
POL-HEALTH-007_16947,2022-04-01,2306190.0,2022-04-01,2022-04-30,Health,0.0,0.0,0.0
POL-HEALTH-028_16950,2022-08-01,2357550.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-038_16974,2022-07-01,2697500.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-038_16976,2022-08-01,2756000.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-038_16977,2022-09-01,2756000.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-068_16989,2022-11-01,2961000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-068_16990,2022-12-01,2961000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-037_16993,2022-06-01,3009600.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-039_17006,2022-05-01,3271000.0,2022-05-01,2022-05-31,Health,0.0,0.0,0.0
POL-HEALTH-039_17014,2022-06-01,3566100.0,2022-06-01,2022-06-30,Health,0.0,0.0,0.0
POL-HEALTH-068_17044,2022-10-01,5427500.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__17048,2022-12-01,5766250.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
FBC_INSURANCE_COMPANY_HOSPITAL_CASH_PLAN_NOV_2022_INVOICE__17049,2022-12-01,5766251.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-037_17063,2022-07-01,7298850.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-037_17068,2022-09-01,7519850.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-067_17071,2022-11-01,7667100.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-067_17072,2022-12-01,7667100.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-037_17073,2022-08-01,7824700.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-039_17078,2022-08-01,8363550.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-039_17079,2022-09-01,8363550.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
POL-HEALTH-039_17082,2022-07-01,8480550.0,2022-07-01,2022-07-31,Health,0.0,0.0,0.0
POL-HEALTH-007_17084,2022-11-01,8785000.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-007_17085,2022-12-01,8785000.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-067_17098,2022-10-01,14133600.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-007_17109,2022-10-01,17539000.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-057_17118,2022-08-01,20992174.0,2022-08-01,2022-08-31,Health,0.0,0.0,0.0
POL-HEALTH-004_17124,2022-11-01,24137450.0,2022-11-01,2022-11-30,Health,0.0,0.0,0.0
POL-HEALTH-004_17125,2022-12-01,24137450.0,2022-12-01,2022-12-31,Health,0.0,0.0,0.0
POL-HEALTH-004_17126,2022-10-01,24248800.0,2022-10-01,2022-10-31,Health,0.0,0.0,0.0
POL-HEALTH-057_17127,2022-09-01,24512000.0,2022-09-01,2022-09-30,Health,0.0,0.0,0.0
HRE-POL-40057-MCP_3125,2022-02-01,11091.23032,2022-02-01,2023-01-31,Motor,665.5765948,0.0,1330.947639
_HRE-POL-20212-MCP__4633,2022-03-22,26569.85355,2022-03-22,2022-07-20,Motor,0.0,0.0,3188.382426
_HRE-POL-20065-DCO__13540,2022-02-14,18000.0,2022-02-14,2023-02-13,Property,1723.798851,0.0,3600.0
MTR/MVE/P/000004271_17026,2022-04-01,3870319.65,2022-04-01,2022-06-30,Motor,0.0,0.0,453335.44
_HRE-POL-20066-MCP__14083,2022-02-14,22487.67,2022-02-14,2023-02-28,Motor,2427.683382,0.0,2698.52
HRE-POL-40054-MCP_4185,2022-01-24,17745.96852,2022-01-24,2023-01-23,Motor,0.0,0.0,2129.516222
HRE/DOM/P/000009179_14935,2022-07-07,43495.89,2022-07-07,2022-11-30,Property,0.0,0.0,8699.18
HRE-POL-40055-MCP_4383,2022-01-24,19964.21458,2022-01-24,2023-01-23,Motor,4995.882855,0.0,2395.70575
HRE-POL-20716-MCP_7008,2022-05-30,219153.269,2022-05-30,2023-05-29,Motor,6175.0,2223.0,26298.39228
BYO-POL-40016-AAR_6105,2022-12-16,206553.4798,2022-12-16,2023-03-15,Property,7583.16,2578.27,46476.87756
MTR/MAT/P/000004144_15400,2022-04-01,67874.93,2022-04-01,2022-06-30,Property,7887.58,0.0,13574.99
HRE-POL-50028-MCP_9953,2022-01-17,2670.0,2022-01-17,2022-05-16,Motor,0.0,0.0,0.0
HRE-POL-50029-MCP_9954,2022-01-17,2670.0,2022-01-17,2022-05-16,Motor,0.0,0.0,0.0
MTR/MAT/P/000004145_16870,2022-04-01,1342947.95,2022-04-01,2022-06-30,Property,0.0,0.0,268589.59
HRE-POL-40053-MCP_4184,2022-01-24,17745.96852,2022-01-24,2023-01-23,Motor,0.0,0.0,2129.516222
HRE-POL-20715-MCP_3556,2022-06-13,48700.72645,2022-06-13,2023-02-12,Motor,16625.0,5985.0,6087.590806
MTR/MTP/P/000004171_14473,2022-06-01,455068.0572,2022-06-01,2022-09-30,Miscellaneous,18432.59884,0.0,91016.14252
MTR/MAT/P/000006788_16534,2022-06-01,458575.31,2022-06-01,2022-09-30,Property,0.0,0.0,91715.06
HRE-POL-20714-MCP_1972,2022-06-13,27057.31194,2022-06-13,2022-10-12,Motor,20543.75,7395.75,3380.642095
HRE-POL-20102-MCP_6575,2022-02-10,47883.30143,2022-02-10,2022-06-30,Motor,0.0,0.0,5745.996171
MTR/MAT/P/000009079_16183,2022-06-01,205777.58,2022-06-01,2022-08-31,Property,0.0,0.0,41155.52
_HRE-POL-20080-MCP__1466,2022-02-13,6384.041163,2022-02-13,2022-06-13,Motor,39082.19,0.0,766.1328229
MTR/MTP/P/000004164_15389,2022-06-01,67317.26,2022-06-01,2022-09-30,Miscellaneous,0.0,0.0,13463.45
MTR/MVE/P/000004645_16800,2022-02-01,2330320.94,2022-02-01,2022-05-31,Motor,0.0,0.0,291290.115
MTR/MTP/P/000009086_16175,2022-03-01,202808.57,2022-03-01,2022-05-31,Miscellaneous,0.0,0.0,40561.72
BYO-POL-40020-AAR_7885,2022-12-16,663189.8066,2022-12-16,2023-03-15,Property,92980.08637,33472.56355,149217.7065
_HRE-POL-20296-MCP__3818,2022-03-09,17934.65115,2022-03-09,2022-07-08,Motor,130397.26,0.0,2242.495639
HRE-POL-40051-MCP_4636,2022-02-01,22182.46065,2022-02-01,2023-01-31,Motor,0.0,0.0,2661.895277
HRE-POL-20088-MCP_5383,2022-02-28,34915.30632,2022-02-28,2022-06-27,Motor,0.0,0.0,4364.562925
_HRE-POL-20081-MCP__3123,2022-02-13,11970.82536,2022-02-13,2022-06-12,Motor,0.0,0.0,1436.499043
_HRE-POL-20005-MCP__15130,2022-01-31,52500.0,2022-01-31,2023-01-30,Motor,0.0,0.0,6300.0
HRE-POL-40168-MCP_5376,2022-02-01,34914.10924,2022-02-01,2022-05-31,Motor,197967.5732,71266.41893,0.0
MTR/MAT/P/000004644_16807,2022-06-01,4294773.037,2022-06-01,2022-09-30,Property,0.0,0.0,858954.6074
HRE-POL-40061-MCP_3626,2022-02-01,13864.0379,2022-02-01,2023-01-31,Motor,256414.54,92309.23,1663.684548
_HRE-POL-20009-MCP__13347,2022-01-31,15750.0,2022-01-31,2023-01-30,Motor,0.0,95953.56089,1890.0
HRE/UL3/P/000004119_16479,2022-07-01,398189.4,2022-07-01,2022-09-30,Liabilities,0.0,0.0,79637.88
_HRE-POL-20266-MCP__1467,2022-03-11,7084.851449,2022-03-11,2022-07-10,Motor,374794.52,0.0,850.2353135
HRE-POL-20599-MCP_3761,2022-06-21,44588.83903,2022-06-21,2022-10-20,Motor,388301.42,139788.51,5350.794453
HRE-POL-40059-MCP_4046,2022-02-01,16636.84548,2022-02-01,2023-01-31,Motor,389698.62,140291.5,1996.421458
HRE-POL-40052-MCP_5051,2022-02-01,26618.95277,2022-02-01,2023-01-31,Motor,0.0,0.0,3194.274333
HRE-POL-40050-MCP_15665,2022-02-01,93866.66,2022-02-01,2022-05-31,Motor,0.0,0.0,11264.0
BYO-POL-40028-MCP_3771,2022-04-16,89564.11833,2022-04-16,2022-08-15,Motor,472374.8228,170054.9362,11193.84007
BYO-POL-40029-AAR_10125,2022-12-21,2009666.081,2022-12-21,2023-03-20,Property,773357.0108,139204.262,452174.8681
HRE/MAT/P/000005286_16562,2022-06-01,1534201.934,2022-06-01,2022-09-30,Property,0.0,0.0,306842.9179
_HRE-POL-20321-MCP__4069,2022-03-01,20193.0887,2022-03-01,2022-05-31,Motor,840514.7326,0.0,2524.136087
_HRE-POL-20265-MCP__6842,2022-03-11,63767.64852,2022-03-11,2022-07-09,Motor,842226.85,0.0,7652.117822
