policy_number,premiums,premium_frequency,start_date,line_of_business,end_date,commission,reinsurance_premium,reinsurance_commission
_MTR-POL-41105-UMB__951,5860.55,S,6/4/2022,Motor,5/4/2023,0,0,0
BYO-POL-40039-PA_952,26125.66,S,1/12/2022,Miscellaneous,31/12/2022,5881.622729,0,0
MTR/MVE/P/000011234_955,26750.48,S,1/12/2022,Motor,28/2/2023,3347.183584,0,0
BYO-POL-90030-MCP_993,26795.55,S,24/11/2022,Motor,23/3/2023,3349.443468,0,0
_HRE-POL-20287-MCP__994,5313.97,S,7/3/2022,Motor,6/7/2022,637.6764852,0,0
_HRE-POL-20300-PBL__995,5313.97,S,3/3/2022,Liabilities,2/3/2023,1195.64341,0,0
_HRE-POL-30050-MCP__996,4788.33,S,28/2/2022,Motor,30/6/2022,0,0,0
_HRE-POL-30210-MCP__997,8601.98,S,5/5/2022,Motor,4/9/2022,0,0,0
_HRE-POL-40239-MCP__998,8601.977161,S,1/5/2022,Motor,31/8/2022,0,0,0
HRE-POL-21168-MCP_999,26795.55,S,1/6/2022,Motor,30/9/2022,3349.443468,0,0
HRE-POL-53937804-MCP_1000,13376.99,S,17/6/2022,Motor,16/10/2022,0,0,0
HRE-POL-30210-MCP_1001,13376.99,S,5/5/2022,Motor,4/9/2022,0,0,0
HRE-POL-90126-MCP_1002,5313.97,S,31/3/2022,Motor,30/7/2022,0,0,0
HRE/MVE/P/000002902_1003,15875.76,S,13/7/2022,Motor,12/11/2022,0,0,0
HRE/MVE/P/000010159_1004,24348.06,S,19/9/2022,Motor,18/1/2023,2921.76672,0,0
HRE/MVE/P/000005878_1005,24734.78,S,28/9/2022,Motor,27/1/2023,2968.17408,0,0
HRE/MVE/P/000010411_1006,25129.22,S,12/10/2022,Motor,11/2/2023,3015.50592,0,0
HRE/MVE/P/000010555_1007,25286.22,S,1/10/2022,Motor,31/1/2023,3160.778,0,0
HRE/MVE/P/000006999_1008,25310.81,S,1/10/2022,Motor,31/1/2023,0,0,0
HRE/MVE/P/000010760_1009,25472.06,S,14/11/2022,Motor,13/3/2023,3184.008,0,0
HRE/MVE/P/000010805_1010,25564.8,S,5/8/2022,Motor,4/12/2022,0,0,0
HRE/MVE/P/000010999_1011,26197.14,S,1/11/2022,Motor,28/2/2023,0,0,0
BYO-POL-90017-MCP_1014,26862.54,S,24/4/2022,Motor,23/8/2022,3356.142355,0,0
BYO-POL-40043-MCP_1017,27090.3,S,4/10/2022,Motor,3/2/2023,3389.636789,0,0
HRE-POL-40249527-MCP_1018,16570.42,S,1/7/2022,Motor,31/10/2022,1988.612997,0,0
_BYO-POL-4001136-MCP__1019,8817.03,S,1/5/2022,Motor,31/8/2022,1103.203571,0,0
HRE-POL-90218-_1023,26634.6,S,26/11/2022,Miscellaneous,20/2/2023,0,0,0
HRE-POL-40294-TRV_1025,27867.37,S,26/11/2022,Miscellaneous,20/2/2023,1393.368483,0,0
HRE-POL-20935-AAR_1030,24838.34,S,24/9/2022,Property,23/1/2023,5591.159331,0,0
HRE-POL-21287-MCP_1031,27914.26,S,1/2/2022,Motor,2/6/2022,3349.443468,0,0
_HRE-POL-53937110-UMB__1046,5027.75,S,1/2/2022,Motor,31/5/2022,0,0,0
_HRE-POL-5393780-DCO__1047,5027.75,S,17/2/2022,Property,16/2/2023,1131.242996,0,0
HRE-POL-53937805-MCP_1048,14045.84,S,22/6/2022,Motor,30/6/2022,1755.72943,0,0
HRE-POL-90065-DCO_1049,4658.32,S,17/1/2022,Property,16/1/2023,0,0,0
HRE/DOM/P/000010183_1050,25761.83,S,20/9/2022,Property,19/9/2023,5152.3668,0,0
HRE/DOM/P/000010624_1051,26554.91,S,25/10/2022,Property,12/12/2022,5310.98148,0,0
CHESTER__RUZANI_1053,26118.91,S,1/9/2022,Health,30/9/2022,0,0,0
BYO-POL-40038-MCH_1057,28805.21,S,1/12/2022,Transport,31/12/2022,6484.522554,0,0
_MTR-POL-41129-MCP__1060,9367.55,S,23/5/2022,Motor,31/8/2022,1172.019388,0,0
HRE-POL-20406-MAR_1061,5812.16,S,1/2/2022,Engineering,1/5/2022,1307.236795,0,0
_BYO-POL-4000828-MCP__1074,9462.17,S,1/5/2022,Motor,31/8/2022,0,0,0
BYO-POL-40003120-MCP_1075,5845.37,S,6/3/2022,Motor,5/7/2022,0,0,0
BYO-POL-40043307-MCP_1077,5845.37,S,1/3/2022,Motor,30/6/2022,730.6709726,0,0
HRE-POL-20871-_1078,21726.82,S,1/8/2022,Engineering,31/10/2022,4888.533455,0,0
BYO/MVE/P/000011169_1079,29577.02,S,1/10/2022,Motor,31/1/2023,3697.12695,0,0
HRE-POL-20965_1082,26346.4,S,26/9/2022,Miscellaneous,1/10/2022,0,0,0
HRE-POL-50097-RTA_1089,4943.36,S,18/1/2022,Miscellaneous,1/2/2022,0,0,0
_HRE-POL-20050-MCP__1148,5386.87,S,18/2/2022,Motor,17/6/2022,646.4245693,0,0
HRE-POL-53937753-MCP_1150,9677.22,S,10/5/2022,Motor,9/9/2022,0,0,0
HRE-POL-20618-MCP_1151,15049.11,S,20/6/2022,Motor,19/10/2022,1805.893128,0,0
HRE-POL-20672-PL_1152,15049.11,S,1/6/2022,Liabilities,30/8/2022,1882.810798,0,0
HRE-POL-21080-PL_1153,30144.99,S,1/12/2022,Liabilities,28/2/2023,6785.972466,0,0
HRE-POL-40007-MCP_1154,4991.05,S,21/1/2022,Motor,9/6/2022,0,0,0
MTR-POL-41147-MCP_1156,15049.11,S,4/6/2022,Motor,3/10/2022,0,0,0
MTR-POL-41161-DCO_1157,18262.77,S,15/7/2022,Property,14/7/2023,2739.415863,0,0
HRE/MVE/P/000005242_1158,27985.15,S,10/9/2022,Motor,9/1/2023,0,0,0
MTR/MVE/P/000010494_1159,45,S,14/10/2022,Motor,13/2/2023,0,0,0
HRE/MVE/P/000011344_1160,30795.03,S,1/12/2022,Motor,31/3/2023,0,0,0
MTR-POL-60025-MCP_1164,28594.03,S,1/10/2022,Motor,31/10/2022,0,0,0
HRE/MVE/P/000010172_1169,28215.34,S,15/9/2022,Motor,31/1/2023,3526.91775,0,0
HRE-POL-20899-MCP_1170,22729.21,S,31/8/2022,Motor,3/3/2023,2725.727745,0,0
HRE-POL-21237-MCP_1182,31263.71,S,12/5/2022,Motor,10/9/2022,3905.451083,0,0
HRE-POL-20168-MCP_1183,5586.78,S,25/1/2022,Motor,25/5/2022,670.36622,0,0
HRE-POL-21093-MCP_1184,31263.71,S,21/12/2022,Motor,21/4/2023,3751.376684,0,0
HRE-POL-21238-MCP_1185,31263.71,S,26/5/2022,Motor,24/9/2022,3751.376684,0,0
HRE-POL-21352-MCP_1186,31263.71,S,16/2/2022,Motor,15/6/2022,3905.451083,0,0
HRE-POL-40258-MCP_1187,18940.52,S,28/7/2022,Motor,29/12/2022,2272.700568,0,0
HRE/MVE/P/000009961_1189,24829.13,S,22/8/2022,Motor,21/12/2022,2979.28288,0,0
HRE/MVE/P/000010197_1190,28626.3,S,3/9/2022,Motor,2/1/2023,3434.9112,0,0
BYO/MVE/P/000010420_1191,29322.95,S,11/9/2022,Motor,10/1/2023,3663.01232,0,0
HRE/MVE/P/000010554_1192,29502.7,S,1/10/2022,Motor,31/1/2023,3685.467148,0,0
HRE/MVE/P/000010562_1193,29502.7,S,18/10/2022,Motor,17/2/2023,0,0,0
HRE/MVE/P/000011227_1194,31494.57,S,10/10/2022,Motor,9/2/2023,3779.07824,0,0
BYO/MVE/P/000011206_1199,31518.9,S,16/11/2022,Motor,15/3/2023,3940.704495,0,0
_BYO-POL-4000211-MCP__1217,10107.32,S,4/5/2022,Motor,3/9/2022,0,0,0
HRE-POL-53937-ELE_1221,15885.17,S,1/6/2022,Engineering,30/9/2022,3574.999544,0,0
_BYO-POL-4002974-MCP__1227,10322.37,S,17/4/2022,Motor,16/8/2022,1290.296574,0,0
BYO-POL-40043306-MCP_1228,5746,S,16/2/2022,Motor,15/6/2022,0,0,0
HRE/DOM/P/000011397_1229,48.06,S,1/12/2022,Property,31/3/2023,9.61,0,0
HRE-POL-40290-TRV_1230,32221.65,S,31/10/2022,Miscellaneous,14/11/2022,1614.431751,0,0
HRE/ENG/P/000011285_1231,32858.22,S,1/10/2022,Engineering,31/1/2023,6574.363207,0,0
HRE/DOM/P/000010368_1233,30223.96,S,1/8/2022,Property,30/11/2022,6044.792184,0,0
MTR/MVE/P/000011238_1235,32945.46,S,1/12/2022,Motor,28/2/2023,4116.49594,0,0
_BYO-POL-4000725-MCP__1238,10515.92,S,5/5/2022,Motor,4/9/2022,0,0,0
BYO/MVE/P/000002131_1239,29302.12,S,5/9/2022,Motor,4/1/2023,0,0,0
HRE-POL-20749-ELE_1240,19853.66,S,16/2/2022,Engineering,31/5/2022,4468.291652,0,0
BYO-POL-40052342-MCP_1243,6509.61,S,1/3/2022,Motor,30/6/2022,814.3660113,0,0
BYO/MVE/P/000010829_1244,31326.3,S,1/11/2022,Motor,28/2/2023,3918.984399,0,0
_HRE-POL-20078-PG__1252,5929.15,S,1/2/2022,Engineering,31/5/2022,1333.549945,0,0
BYO-POL-90072-PBL_1280,33494.43,S,8/9/2022,Liabilities,7/9/2023,7536.247802,0,0
HRE-POL-90200-_1281,33494.43,S,18/10/2022,Miscellaneous,6/6/2023,7033.831282,0,0
HRE-POL-90201-_1282,32012.74,S,18/10/2022,Miscellaneous,6/6/2023,6722.675085,0,0
HRE-POL-90202-_1283,33494.43,S,25/10/2022,Miscellaneous,6/6/2023,7033.831282,0,0
HRE-POL-90203-_1284,32012.74,S,25/10/2022,Miscellaneous,6/6/2023,6722.675085,0,0
_HRE-POL-20433-DCO__1285,7513.53,S,11/4/2022,Property,10/4/2023,1502.7064,0,0
_HRE-POL-20554-PBL__1286,10752.47,S,17/5/2022,Liabilities,14/8/2022,2419.306077,0,0
_HRE-POL-30049-MCP__1287,5985.41,S,25/2/2022,Motor,24/6/2022,0,0,0
_MTR-POL-41106-AAR__1288,7513.53,S,6/4/2022,Property,4/4/2023,0,0,0
HRE-POL-20882-MCH_1289,24689.56,S,17/8/2022,Transport,16/11/2022,5555.151653,0,0
HRE-POL-20896-PBL_1291,24689.56,S,17/8/2022,Liabilities,16/11/2022,5555.151653,0,0
HRE-POL-20967-PID_1292,29803.62,S,29/9/2022,Liabilities,28/9/2023,6705.814763,0,0
HRE-POL-40252532-MCP_1293,16721.23,S,8/6/2022,Motor,7/10/2022,0,0,0
HRE-POL-53937623-DCO_1294,16721.23,S,11/6/2022,Property,10/6/2023,3762.27735,0,0
HRE-POL-53937695-MCP_1295,6642.46,S,1/3/2022,Motor,30/6/2022,0,0,0
BYO-POL-40026-PBL_1296,16721.23,S,1/7/2022,Liabilities,31/12/2022,3762.27735,0,0
BYO-POL-40036-PBL_1297,5985.41,S,1/1/2022,Liabilities,30/6/2022,0,0,0
BYO-POL-40050-DCO_1298,6642.46,S,1/1/2022,Property,30/4/2022,1494.554262,0,0
HRE-POL-20991-MCP_1299,29803.62,S,1/9/2022,Motor,31/12/2022,3576.43454,0,0
HRE-POL-21251-DCO_1300,33494.43,S,19/4/2022,Property,18/4/2023,6698.886935,0,0
HRE-POL-40275-MCP_1301,20291.97,S,15/7/2022,Motor,14/11/2022,0,0,0
MTR/DOM/P/000010199_1302,30668.85,S,21/9/2022,Property,20/9/2023,0,0,0
HRE/MVE/P/000006416_1303,31607.78,S,10/10/2022,Motor,9/2/2023,3792.9336,0,0
HRE/ENG/P/000010750_1304,31839.19,S,10/11/2022,Engineering,13/3/2023,0,0,0
HRE/MTP/P/000010785_1305,31911.39,S,17/11/2022,Miscellaneous,16/2/2023,6382.277,0,0
HRE/MVE/P/000010932_1306,32746.42,S,15/11/2022,Motor,14/11/2023,0,0,0
HRE/MTP/P/000011245_1307,33811.4,S,15/12/2022,Miscellaneous,14/4/2023,0,0,0
HRE/MVE/P/000002457_1308,33610.25,S,1/12/2022,Motor,31/3/2023,0,0,0
HRE-POL-30277-UMB_1315,16758.02,S,1/6/2022,Motor,30/9/2022,0,0,0
_HRE-POL-20435-DCO__1318,7573.64,S,12/4/2022,Property,11/4/2023,1514.728051,0,0
HRE-POL-53937619-DCO_1319,16855,S,2/6/2022,Property,1/6/2023,3792.375569,0,0
HRE-POL-21262-DCO_1320,33762.39,S,14/4/2022,Property,13/4/2023,6752.478031,0,0
HRE-POL-21034-PAR_1322,33769.09,S,1/10/2022,Engineering,31/1/2023,7596.537785,0,0
HRE-POL-20641-_1323,16885.1,S,1/6/2022,Engineering,30/9/2022,3799.064062,0,0
HRE-POL-50060-DCO_1328,5656.53,S,17/1/2022,Property,16/1/2023,1187.870768,0,0
HRE/DOM/P/000010227_1330,31468.73,S,29/9/2022,Property,28/1/2023,6293.746688,0,0
HRE-POL-20739-UMB_1333,20835.79,S,1/6/2022,Motor,30/9/2022,2605.488865,0,0
HRE-POL-30298-UMB_1334,20835.79,S,21/7/2022,Motor,30/9/2022,2605.488865,0,0
MTR-POL-41133-AAR_1338,17390.08,S,16/6/2022,Property,15/6/2023,0,0,0
_HRE-POL-20475-MCP__1350,7889.21,S,29/4/2022,Motor,31/8/2022,0,0,0
_HRE-POL-5393793-MCP__1351,6284.68,S,11/2/2022,Motor,10/6/2022,0,0,0
HRE-POL-40251530-MCP_1352,17557.29,S,11/6/2022,Motor,10/10/2022,0,0,0
HRE-POL-53937770-MCP_1353,11290.1,S,13/5/2022,Motor,12/9/2022,0,0,0
HRE-POL-30138-MCP_1354,6974.59,S,7/3/2022,Motor,6/7/2022,0,0,0
HRE-POL-30309-MCP_1355,21306.57,S,1/7/2022,Motor,31/10/2022,0,0,0
HRE-POL-40236-MCP_1356,7889.21,S,29/4/2022,Motor,31/8/2022,0,0,0
HRE-POL-90073-DCO_1357,5822.9,S,3/1/2022,Property,2/1/2023,0,0,0
HRE/MVE/P/000010049_1358,28708.33,S,31/8/2022,Motor,30/12/2022,0,0,0
HRE/MVE/P/000010465_1359,33053.82,S,30/9/2022,Motor,29/1/2023,0,0,0
HRE/MVE/P/000010543_1360,33188.17,S,19/10/2022,Motor,18/2/2023,0,0,0
HRE/MVE/P/000010754_1361,33432.08,S,1/10/2022,Motor,31/1/2023,0,0,0
HRE/MVE/P/000010783_1362,33432.08,S,1/9/2022,Motor,31/12/2022,0,0,0
HRE/MVE/P/000010928_1363,34383.74,S,1/11/2022,Motor,30/11/2022,0,0,0
HRE/MVE/P/000010936_1364,34383.74,S,1/11/2022,Motor,28/2/2023,0,0,0
HRE/MVE/P/000010957_1367,52.6,S,9/11/2022,Motor,8/3/2023,6.58,0,0
HRE/MVE/P/000010330_1368,52.77,S,9/9/2022,Motor,8/1/2023,6.33,0,0
_BYO-POL-4001239-MCP__1397,11397.62,S,26/5/2022,Motor,25/9/2022,0,0,0
_BYO-POL-4002050-MCP__1398,11397.62,S,1/4/2022,Motor,30/6/2022,1425.777714,0,0
_BYO-POL-40035-MON__1399,11397.62,S,1/4/2022,Miscellaneous,31/3/2023,2565.539688,0,0
BYO-POL-40006132-MCP_1400,6344.54,S,28/2/2022,Motor,30/6/2022,0,0,0
BYO-POL-40015171-MCP_1401,7041.01,S,1/3/2022,Motor,30/6/2022,0,0,0
BYO-POL-40032260-MCP_1403,7041.01,S,1/3/2022,Motor,30/6/2022,880.7906451,0,0
BYO-POL-40044311-MCP_1404,7041.01,S,1/3/2022,Motor,30/6/2022,880.7906451,0,0
BYO-POL-40052341-MCP_1405,7041.01,S,1/3/2022,Motor,30/6/2022,880.7906451,0,0
MTR-POL-41011-MCP_1406,6344.54,S,4/2/2022,Motor,3/6/2022,0,0,0
BYO/MVE/P/000009885_1407,23850,S,1/8/2022,Motor,30/11/2022,2983.5,0,0
BYO/MVE/P/000010014_1408,53,S,5/8/2022,Motor,4/12/2022,0,0,0
BYO/MVE/P/000002464_1409,53,S,6/9/2022,Motor,5/1/2023,0,0,0
HRE/MVE/P/000010772_1410,33750.48,S,2/11/2022,Motor,31/1/2023,4221.994608,0,0
BYO/MVE/P/000011208_1411,35702.11,S,16/11/2022,Motor,28/2/2023,4466.131761,0,0
_BYO-POL-4001035-MCP__1442,11468.59,S,11/4/2022,Motor,10/8/2022,0,0,0
_HRE-POL-20072-MCP__1443,6384.04,S,28/2/2022,Motor,30/6/2022,0,0,0
_HRE-POL-20285-MCP__1444,7084.85,S,4/3/2022,Motor,3/7/2022,850.2353135,0,0
_HRE-POL-20334-MCP__1445,7084.85,S,1/3/2022,Motor,30/6/2022,850.2353135,0,0
_HRE-POL-20417-MCP__1446,8013.93,S,8/4/2022,Motor,7/8/2022,961.732096,0,0
_HRE-POL-20536-MCP__1447,11468.59,S,27/5/2022,Motor,25/9/2022,1434.379692,0,0
BYO-POL-40016174-MCP_1448,6384.04,S,15/2/2022,Motor,14/6/2022,798.4540513,0,0
HRE-POL-53937697-MCP_1449,7084.85,S,1/3/2022,Motor,30/6/2022,850.2353135,0,0
BYO-POL-40046-MCP_1450,35725.16,S,1/7/2022,Motor,31/10/2022,4468.157586,0,0
HRE-POL-21176-MCP_1451,35725.16,S,30/5/2022,Motor,28/9/2022,4287.287639,0,0
HRE-POL-21246-MCP_1452,35725.16,S,3/5/2022,Motor,1/9/2022,4287.287639,0,0
HRE-POL-40256-MCP_1453,21643.41,S,3/6/2022,Motor,3/10/2022,2597.372077,0,0
HRE-POL-40265-MCP_1454,21643.41,S,7/7/2022,Motor,9/11/2022,2597.372077,0,0
HRE-POL-40273-MCP_1455,21643.41,S,12/7/2022,Motor,11/11/2022,2597.372077,0,0
BYO/MVE/P/000005496_1456,23998.5,S,15/6/2022,Motor,14/10/2022,3001.5,0,0
HRE/MVE/P/000010087_1457,29162.2,S,18/8/2022,Motor,17/12/2022,3647.325418,0,0
HRE/MVE/P/000005237_1458,33436.46,S,7/10/2022,Motor,6/2/2023,4012.62592,0,0
HRE/MVE/P/000010505_1459,33594.26,S,19/10/2022,Motor,18/2/2023,4201.644439,0,0
HRE/MVE/P/000010509_1460,33594.26,S,1/10/2022,Motor,31/1/2023,4201.644439,0,0
HRE/MVE/P/000011008_1461,34927.33,S,28/11/2022,Motor,27/3/2023,4368.372428,0,0
BYO/MVE/P/000002662_1462,35848.69,S,19/10/2022,Motor,18/2/2023,0,0,0
_HRE-POL-30219-MCP__1471,11470.74,S,1/5/2022,Motor,31/8/2022,1434.379692,0,0
HRE/MVE/P/000010266_1473,33171.73,S,1/9/2022,Motor,31/12/2022,4148.020974,0,0
_BYO-POL-4002461-MCP__1477,11500.84,S,28/4/2022,Motor,27/8/2022,1438.68068,0,0
BYO-POL-40019-MCP_1478,35825.65,S,28/4/2022,Motor,27/8/2022,4481.55536,0,0
BYO/MVE/P/000011205_1479,36025.45,S,1/11/2022,Motor,28/2/2023,4506.549243,0,0
BYO-POL-40007-DCO_1484,36107,S,4/12/2022,Property,28/2/2023,8125.749853,0,0
BYO-POL-40038-MCP_1485,36113.7,S,1/10/2022,Motor,31/1/2023,4515.049795,0,0
HRE/DOM/P/000010809_1491,34512.49,S,21/4/2022,Property,20/4/2023,6902.49708,0,0
HRE/DOM/P/000011327_1492,36954.03,S,30/12/2022,Property,29/12/2023,7390.80612,0,0
MERCY__CHIWARA__1493,36810.98,S,1/12/2022,Health,31/12/2022,0,0,0
273SCHEN5_1495,36495.54,S,10/11/2022,Miscellaneous,17/11/2022,542.6098418,0,0
HRE/MVE/P/000010083_1500,30075.4,S,1/7/2022,Motor,31/10/2022,3762.158752,0,0
HRE-POL-50658-MCP_1506,32992.61,S,1/9/2022,Motor,31/12/2022,0,0,0
HRE/MVE/P/000010996_1507,36283.03,S,22/11/2022,Motor,21/3/2023,0,0,0
HRE/MVE/P/000010145_1509,33610.72,S,14/9/2022,Motor,31/10/2022,4199.07463,0,0
HRE-POL-21270-MCP_1513,37661.14,S,5/4/2022,Motor,31/5/2022,4709.317516,0,0
HRE-POL-20666-AAR_1514,18811.39,S,1/6/2022,Property,30/8/2022,4233.816111,0,0
BYO-POL-40051-HSH_1517,7528.57,S,1/1/2022,Property,30/4/2022,1693.828164,0,0
HRE-POL-20918-PBL_1522,34059.58,S,19/9/2022,Liabilities,18/9/2023,7665.491364,0,0
_BYO-POL-40013-MCP__1529,12472.87,S,1/4/2022,Motor,30/9/2022,0,0,0
BYO/MVE/P/000009816_1531,58,S,1/7/2022,Motor,31/10/2022,0,0,0
BYO/MVE/P/000009817_1532,58,S,1/7/2022,Motor,31/10/2022,0,0,0
BYO/MVE/P/000009828_1533,26100,S,16/6/2022,Motor,15/10/2022,3262.5,0,0
HRE/MVE/P/000009987_1534,58,S,23/8/2022,Motor,22/12/2022,0,0,0
HRE/MVE/P/000010943_1535,37985.85,S,14/9/2022,Motor,13/1/2023,0,0,0
HRE-POL-30194-AAR_1536,8750.26,S,1/4/2022,Property,30/4/2022,1968.545384,0,0
_HRE-POL-20469-MCP__1541,8765.29,S,1/4/2022,Motor,31/7/2022,1095.472966,0,0
_HRE-POL-40240-MCP__1542,12543.83,S,3/5/2022,Motor,30/9/2022,0,0,0
BYO-POL-40008140-MCP_1543,6982.58,S,21/2/2022,Motor,20/6/2022,0,0,0
BYO-POL-40012160-MCP_1544,19506.99,S,21/6/2022,Motor,20/10/2022,0,0,0
HRE/MVE/P/000010356_1545,36274.97,S,1/9/2022,Motor,31/12/2022,4533.594138,0,0
HRE/MVE/P/000005406_1546,38201.97,S,3/11/2022,Motor,2/3/2023,0,0,0
HRE-POL-30320-MCP_1550,23676.67,S,3/7/2022,Motor,2/11/2022,0,0,0
HRE-POL-40257-MON_1556,19607.32,S,1/6/2022,Miscellaneous,31/12/2022,4411.061177,0,0
HRE/MVE/P/000010769_1559,37361.15,S,8/11/2022,Motor,7/3/2023,0,0,0
BYO-POL-40042-MCP_1561,40086.14,S,1/10/2022,Motor,31/3/2023,5010.767428,0,0
_BYO-POL-40015-DCO__1652,12902.97,S,1/4/2022,Property,31/7/2022,2903.167292,0,0
_BYO-POL-4002358-MCP__1653,12902.97,S,5/5/2022,Motor,4/9/2022,1612.870718,0,0
_HRE-POL-20073-MCP__1654,7182.5,S,28/2/2022,Motor,30/6/2022,861.8994257,0,0
_HRE-POL-20235-MCP__1655,7970.96,S,24/3/2022,Motor,22/7/2022,956.5147277,0,0
_HRE-POL-20242-MCP__1656,7970.96,S,13/3/2022,Motor,11/7/2022,956.5147277,0,0
_HRE-POL-20252-DCO__1657,7970.96,S,16/3/2022,Property,15/3/2023,1594.191213,0,0
_HRE-POL-20301-UML__1658,7970.96,S,3/3/2022,Liabilities,2/3/2023,1793.465115,0,0
_HRE-POL-20423-DCO__1659,9016.24,S,12/4/2022,Property,11/4/2023,1803.24768,0,0
_HRE-POL-20444-MCP__1660,9016.24,S,23/4/2022,Motor,22/8/2022,1127.0298,0,0
_HRE-POL-20446-MCP__1661,9016.24,S,22/4/2022,Motor,21/4/2023,1803.24768,0,0
_HRE-POL-20458-DCO__1662,9016.24,S,22/4/2022,Property,21/4/2023,1803.24768,0,0
_HRE-POL-20555-DCO__1663,12902.97,S,19/5/2022,Property,18/5/2023,2580.593148,0,0
_HRE-POL-30067-MCP__1664,7182.5,S,19/2/2022,Motor,18/6/2022,0,0,0
_HRE-POL-53937101-MCP__1665,7182.5,S,5/2/2022,Motor,4/6/2022,897.8119018,0,0
_HRE-POL-5393798-MCP__1666,7182.5,S,19/2/2022,Motor,18/6/2022,0,0,0
_HRE-POL-5393799-MCP__1667,7182.5,S,1/2/2022,Motor,31/5/2022,897.8119018,0,0
_MTR-POL-41100-MCP__1668,9016.24,S,3/4/2022,Motor,2/8/2022,0,0,0
BYO-POL-40012158-MCP_1670,7182.5,S,9/2/2022,Motor,8/6/2022,897.8119018,0,0
BYO-POL-40044310-MCP_1671,7182.5,S,13/2/2022,Motor,12/6/2022,0,0,0
HRE-POL-20799-MCP_1672,24350.36,S,17/7/2022,Motor,16/11/2022,3043.795403,0,0
HRE-POL-20975-MCP_1673,35764.35,S,25/5/2022,Motor,23/9/2022,4291.721448,0,0
HRE-POL-20987-DCO_1674,35764.35,S,28/9/2022,Property,27/9/2023,7152.86908,0,0
HRE-POL-21147-MCP_1675,40193.32,S,1/7/2022,Motor,30/10/2022,5024.165202,0,0
HRE-POL-40260534-MCP_1676,24350.36,S,1/7/2022,Motor,31/10/2022,2922.043587,0,0
HRE-POL-40260535-MCP_1677,24350.36,S,1/7/2022,Motor,31/10/2022,2922.043587,0,0
HRE-POL-53937615-DCO_1678,12902.97,S,19/5/2022,Property,18/5/2023,2903.167292,0,0
HRE-POL-53937713-MCP_1679,7970.96,S,8/3/2022,Motor,7/7/2022,996.3695081,0,0
HRE-POL-53937728-MCP_1680,9016.24,S,3/4/2022,Motor,2/8/2022,1127.0298,0,0
HRE-POL-53937780-MCP_1681,12902.97,S,25/5/2022,Motor,24/9/2022,0,0,0
HRE-POL-53937814-MCP_1682,20065.48,S,27/6/2022,Motor,26/10/2022,2508.1849,0,0
HRE-POL-53937815-MCP_1683,20065.48,S,1/6/2022,Motor,30/9/2022,2508.1849,0,0
BYO-POL-40011-RTA_1684,7182.5,S,1/2/2022,Motor,31/5/2022,897.8119018,0,0
HRE-POL-20189-MCP_1688,7182.5,S,1/2/2022,Motor,31/5/2022,861.8994257,0,0
HRE-POL-20560-RTA_1689,20065.48,S,29/4/2022,Motor,28/12/2022,1003.27396,0,0
HRE-POL-20577-DCO_1690,20065.48,S,23/6/2022,Property,20/9/2022,4013.09584,0,0
HRE-POL-20578-DCO_1691,20065.48,S,23/6/2022,Property,20/9/2022,4013.09584,0,0
HRE-POL-20585-DCO_1692,20065.48,S,22/6/2022,Property,21/6/2023,4013.09584,0,0
HRE-POL-20707-GPA_1693,24350.36,S,1/6/2022,Miscellaneous,30/9/2022,5478.831726,0,0
HRE-POL-20717-DCO_1694,24350.36,S,1/6/2022,Property,31/5/2023,5478.831726,0,0
HRE-POL-20839-MCP_1695,24350.36,S,1/5/2022,Motor,1/9/2022,3043.795403,0,0
HRE-POL-20910-MCP_1696,29627.48,S,29/8/2022,Motor,28/12/2022,3555.297058,0,0
HRE-POL-21087-MCP_1697,40193.32,S,19/12/2022,Motor,19/4/2023,5024.165202,0,0
HRE-POL-21092-MCP_1698,40193.32,S,14/12/2022,Motor,14/4/2023,4823.198594,0,0
HRE-POL-21161-MCP_1699,40193.32,S,1/6/2022,Motor,30/9/2022,5024.165202,0,0
HRE-POL-21179-MCP_1700,40193.32,S,1/10/2022,Motor,30/1/2023,4823.198594,0,0
HRE-POL-21186-MCP_1701,40193.32,S,1/6/2022,Motor,30/9/2022,4823.198594,0,0
HRE-POL-21223-MCP_1702,40193.32,S,1/5/2022,Motor,30/8/2022,5024.165202,0,0
HRE-POL-21227-MCP_1703,40193.32,S,18/6/2022,Motor,17/10/2022,4823.198594,0,0
HRE-POL-21228-MCP_1704,40193.32,S,18/10/2022,Motor,16/2/2023,4823.198594,0,0
HRE-POL-21257-DCO_1705,40193.32,S,14/4/2022,Property,13/4/2023,8038.664323,0,0
HRE-POL-21258-DCO_1706,40193.32,S,14/4/2022,Property,13/4/2023,8038.664323,0,0
HRE-POL-21378-MCP_1707,40193.32,S,3/5/2022,Motor,2/9/2022,5024.165202,0,0
HRE-POL-21381-MCP_1708,40193.32,S,3/5/2022,Motor,2/9/2022,5024.165202,0,0
HRE-POL-21384-MCP_1709,40193.32,S,21/5/2022,Motor,20/9/2022,5024.165202,0,0
HRE-POL-21392-MCP_1710,40193.32,S,1/6/2022,Motor,30/9/2022,5024.165202,0,0
HRE-POL-21488-MON_1711,40193.32,S,1/10/2022,Miscellaneous,31/1/2023,5024.165202,0,0
HRE-POL-21493-MCP_1713,40193.32,S,3/9/2022,Motor,2/1/2023,5024.165202,0,0
